epoch,step_in_epoch,global_step,L_det,L_cls,L_center,L_size,L_yaw,L_embed,total,match_count,track_cls_acc
1,1,1,0.000000,0.681507,0.391513,0.472677,0.995700,0.398017,2.939414,28,1.000000
1,2,2,0.000000,9.598589,0.290636,0.353050,0.130114,0.399842,10.772230,42,0.000000
1,3,3,0.000000,0.947082,0.318706,0.730776,0.129850,0.398100,2.524514,37,0.000000
1,4,4,0.000000,9.319322,0.286003,0.509730,0.130762,0.400922,10.646738,34,1.000000
1,5,5,0.000000,7.384967,0.267527,0.522601,0.129425,0.399730,8.704249,29,1.000000
1,6,6,0.000000,2.504021,0.306389,0.602129,0.128844,0.400061,3.941444,28,1.000000
1,7,7,0.000000,2.062226,0.341238,0.410435,0.132008,0.400087,3.345994,43,0.000000
1,8,8,0.000000,2.713845,0.307740,0.496941,0.129750,0.399991,4.048266,34,0.000000
1,9,9,0.000000,1.918279,0.265817,0.433800,0.131525,0.400071,3.149492,24,0.000000
1,10,10,0.000000,1.640583,0.343204,0.558938,0.134596,0.400057,3.077378,35,0.000000
1,11,11,0.000000,0.689993,0.321672,0.450068,0.136721,0.399973,1.998427,32,0.000000
1,12,12,0.000000,1.227945,0.317425,0.310788,0.128614,0.799860,2.784632,33,1.000000
1,13,13,0.000000,1.518458,0.299780,0.267085,0.134100,0.400014,2.619437,34,1.000000
1,14,14,0.000000,1.071241,0.371312,0.467219,0.132792,0.799875,2.842439,35,1.000000
1,15,15,0.000000,0.662417,0.321548,0.392530,0.135464,0.399982,1.911941,28,0.000000
1,16,16,0.000000,0.798618,0.458935,0.328940,0.129819,0.400006,2.116318,28,0.000000
1,17,17,0.000000,1.132776,0.336950,0.328043,0.132357,0.399998,2.330123,33,0.000000
1,18,18,0.000000,1.053308,0.323109,0.217211,0.131263,0.799966,2.524855,29,0.000000
1,19,19,0.000000,1.065448,0.320045,0.308138,0.130945,0.400002,2.224577,39,0.000000
1,20,20,0.000000,0.782034,0.301753,0.239719,0.131065,0.399997,1.854568,39,0.000000
1,21,21,0.000000,0.688431,0.268378,0.151520,0.134250,0.400004,1.642584,29,1.000000
1,22,22,0.000000,0.846560,0.290098,0.226190,0.129823,0.400007,1.892678,33,1.000000
1,23,23,0.000000,0.947622,0.307386,0.262643,0.130588,0.399995,2.048234,30,1.000000
1,24,24,0.000000,0.815617,0.351145,0.281818,0.128460,0.399996,1.977036,33,1.000000
1,25,25,0.000000,0.687414,0.326572,0.242745,0.131141,0.400008,1.787881,32,1.000000
1,26,26,0.000000,0.666451,0.327681,0.260916,0.132430,0.400001,1.787479,31,0.000000
1,27,27,0.000000,0.796621,0.306109,0.144008,0.133021,0.400001,1.779760,38,0.000000
1,28,28,0.000000,0.692058,0.277405,0.157491,0.130386,0.400000,1.657340,26,0.000000
1,29,29,0.000000,0.827233,0.307682,0.278104,0.131536,0.400002,1.944558,40,0.000000
